<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20230222,220000,155.7000000,155.8000000,155.6000000,155.6900000,172230
GAZP,60,20230222,230000,155.6600000,155.6900000,155.1000000,155.1100000,345570
GAZP,60,20230223,000000,155.1200000,155.7000000,155.0000000,155.3100000,403720
GAZP,60,20230224,110000,155.5200000,156.9800000,155.0200000,156.2200000,2314050
GAZP,60,20230224,120000,156.2300000,156.6400000,155.5800000,155.8000000,709190
GAZP,60,20230224,130000,155.7900000,156.1800000,155.7000000,155.7100000,561660
GAZP,60,20230224,140000,155.7100000,155.8700000,154.9000000,154.9000000,1137100
GAZP,60,20230224,150000,154.9000000,155.0000000,154.2000000,154.3500000,1196400
GAZP,60,20230224,160000,154.3400000,154.5800000,154.0300000,154.1400000,890360
GAZP,60,20230224,170000,154.1400000,154.3600000,153.7200000,154.0300000,1191020
GAZP,60,20230224,180000,154.0200000,154.5100000,153.7700000,154.2100000,671600
GAZP,60,20230224,190000,154.2100000,154.3500000,154.0000000,154.1500000,392320
GAZP,60,20230224,200000,154.1500000,154.5100000,153.9000000,154.3900000,327280
GAZP,60,20230224,210000,154.3900000,154.3900000,154.2100000,154.2700000,65270
GAZP,60,20230224,220000,154.2500000,154.3200000,154.1100000,154.3000000,111130
GAZP,60,20230224,230000,154.3000000,154.3400000,154.0000000,154.2200000,210690
GAZP,60,20230225,000000,154.2000000,154.4000000,154.0800000,154.2200000,186580
GAZP,60,20230227,110000,153.9000000,155.3900000,153.5000000,154.9200000,3196190
GAZP,60,20230227,120000,154.9500000,155.2900000,154.5400000,154.6800000,998530
GAZP,60,20230227,130000,154.6800000,154.9900000,154.3000000,154.9700000,1105140
GAZP,60,20230227,140000,154.9700000,155.2200000,154.6800000,154.8700000,604470
GAZP,60,20230227,150000,154.8600000,154.9900000,154.8100000,154.9200000,372020
GAZP,60,20230227,160000,154.9000000,156.7800000,154.8700000,156.3000000,4056850
GAZP,60,20230227,170000,156.3000000,157.3000000,156.1300000,156.9100000,3529110
GAZP,60,20230227,180000,156.9100000,157.1400000,156.3500000,156.5100000,1328610
GAZP,60,20230227,190000,156.5000000,156.6200000,156.2000000,156.5200000,503510
GAZP,60,20230227,200000,156.5100000,156.8900000,156.2200000,156.6800000,471450
GAZP,60,20230227,210000,156.6900000,156.6900000,156.5000000,156.6200000,211120
GAZP,60,20230227,220000,156.6400000,156.7900000,156.6200000,156.6400000,186920
GAZP,60,20230227,230000,156.6400000,156.7600000,156.5100000,156.6100000,200830
GAZP,60,20230228,000000,156.5600000,156.6900000,156.2600000,156.3400000,300860
GAZP,60,20230228,110000,156.4100000,158.0900000,156.0000000,156.5100000,5211760
GAZP,60,20230228,120000,156.5100000,156.7900000,155.8300000,156.4200000,2094760
GAZP,60,20230228,130000,156.3500000,156.6000000,155.9000000,156.3000000,1271400
GAZP,60,20230228,140000,156.3100000,156.6900000,156.0500000,156.3000000,1108810
GAZP,60,20230228,150000,156.2900000,156.3000000,155.5600000,156.2100000,2079050
GAZP,60,20230228,160000,156.2100000,156.8900000,155.8400000,156.8700000,832590
GAZP,60,20230228,170000,156.8800000,157.3500000,156.5000000,156.6200000,1524730
GAZP,60,20230228,180000,156.6200000,157.0700000,156.6200000,157.0600000,702740
GAZP,60,20230228,190000,157.0400000,157.7200000,157.0400000,157.7200000,1522290
GAZP,60,20230228,200000,157.5100000,157.7400000,157.0600000,157.4200000,544920
GAZP,60,20230228,210000,157.4000000,157.5900000,157.3200000,157.5800000,274500
GAZP,60,20230228,220000,157.5800000,157.7200000,157.5800000,157.7000000,424920
GAZP,60,20230228,230000,157.7000000,157.7000000,157.1800000,157.4100000,470140
GAZP,60,20230301,000000,157.4400000,157.7500000,157.4000000,157.6600000,342970
GAZP,60,20230301,110000,158.0000000,160.8700000,157.9900000,160.2400000,10559430
GAZP,60,20230301,120000,160.2400000,161.9700000,160.2000000,161.7500000,9802630
GAZP,60,20230301,130000,161.7500000,162.7900000,161.6400000,162.4500000,9726680
GAZP,60,20230301,140000,162.4400000,164.4800000,162.4200000,163.9700000,11143230
GAZP,60,20230301,150000,163.9700000,164.0000000,162.5200000,163.3300000,7336310
GAZP,60,20230301,160000,163.3300000,163.3500000,162.0100000,162.3200000,4582640
GAZP,60,20230301,170000,162.2400000,163.3500000,162.2400000,162.4500000,3920570
GAZP,60,20230301,180000,162.4500000,163.2100000,162.4500000,162.8600000,2205230
